id,country_name,short_name
1,Algerije ,DZ
2,Australië,AU
3,België,BE
4,Brazilië,BR
5,Canada,CA
6,Canarische eilanden,ES
7,Chili,CL
8,China,CN
9,Congo,CD
10,Cyprus,CY
11,Duitsland,DE
12,Engeland,GB
13,Frankrijk,FR
14,Griekendland,GR
15,Groenland,GL
16,Hongarije,HU
17,Indië,IN
18,Israel,IL
19,Italië,IT
20,Japan,JP
21,Kazakstan,KZ
22,Kenia,KE
23,La reunion,FR
24,Madagascar,MG
25,Malawi,MW
26,Marokko,MA
27,Mexico,MX
28,Myanmar,MM
29,Namibië,NA
30,Noorwegen,NO
31,Oostenrijk,AT
32,Peru,PE
33,Polen,PL
34,Portugal,PT
35,Roemenië,RO
36,Rusland,RU
37,Schotland,GB
38,Slovenië,SI
39,Spanje,ES
40,Tasmanië,AU
41,Thailand,TH
42,Tsjechië,CZ
43,Tunesië,TN
44,Turkije,TR
45,Verenigde Staten Van Amerika,US
46,Wales,GB
47,Zambië,ZM
48,Zuid-Afrika,ZA
49,Zweden,SE
50,Zwitserland,CH
