id;code;name;parent_id
1;A;Copper-cupalite family;1
2;B;Zinc-brass family;1
3;C;Indium-tin family;1
4;D;Mercury-amalgam family;1
5;E;Iron-chromium family;1
6;F;Platinum group elements;1
7;G;PGE-metal alloys;1
8;H;Miscellaneous Elements, alloys;1
9;A;Carbides;2
10;B;Silicides;2
11;C;Nitrides;2
12;D;Phosphides;2
13;A;Arsenic group elements;3
14;B;Carbon-silicon family;3
15;C;Sulfur-selenium-iodine;3
16;A;Nonmetallic carbides;4
17;B;Nonmetallic nitrides;4
18;A;Alloys of metalloids with Cu, Ag, Au;5
19;B;Ni-metalloid alloys;5
20;C;Alloys of metalloids with PGE;5
21;A;With Cu, Ag, Au;6
22;B;With Ni;6
23;C;With Rh, Pd, Pt, etc.;6
24;D;With Hg, Tl;6
25;E;With Pb (Bi);6
26;A;With Cu;7
27;B;With Zn, Fe, Cu, Ag, etc.;7
28;C;With Ni, Fe, Co, PGE, etc.;7
29;D;With Sn, Pb, Hg, etc.;7
30;A;M:S = 3:4;8
31;B;M:S = 2:3;8
32;C;Variable M:S;8
33;A;M:S = 1:2 - With Cu, Ag, Au;9
34;B;M:S = 1:2, with Fe, Co, Ni, PGE, etc.;9
35;C;M:S = 1:>2;9
36;A;With As, (Sb), S;10
37;B;With alkalies (without Cl, etc.);10
38;C;With Cl, Br, I (halide-sulfides);10
39;D;With O, OH, H2O;10
40;A;Neso-sulfarsenites, etc. without additional S;11
41;B;Neso-sulfarsenites, etc. with additional S;11
42;C;Poly-sulfarsenites;11
43;A;With Cu, Ag, Fe (without Pb);12
44;B;With Cu, Ag, Fe, Sn and Pb;12
45;C;With only Pb;12
46;D;With Tl;12
47;E;With alkalies, H2O;12
48;F;With SnS and PbS archetype structure units;12
49;A;Galena derivatives with little or no Pb;13
50;B;Galena derivatives, with Pb;13
51;C;Galena derivatives, with Tl;13
52;A;Sulfarsenates with (As,Sb)S4�tetrahedra;14
53;B;Sulfarsenates with additional S;14
54;A;Without essential Pb;15
55;B;With essential Pb;15
56;A;Oxysulfosalts of Alkalies and Alkali Earths;16
57;A;M:X = 1:1, 2:3, 3:5, etc.;17
58;B;M:X = 1:2;17
59;C;M:X = 1:3;17
60;A;M:X = 1:1 and 2:3;18
61;B;M:X = 1:2;18
62;C;M:X = 1:3;18
63;D;Simple halides with H2O and additional OH;18
64;A;Borofluorides;19
