id;code;name;parent_id;;
1;01;Series Copper, Silver and Gold;1;;
2;02;Mercury and Amalgam series;1;;
3;03;Aluminium - Khatyrkite series;1;;
4;04;Zinc-Cadmium series;1;;
5;05;Lead series;1;;
6;06;Chromium series, Titanium-Chromferides;1;;
7;07;Iron series;1;;
8;08;Nickel series;1;;
9;09;Honquiite-Tantalcarbide series;1;;
10;10;Osbornite-Sinoite series;1;;
11;11;Barringerite-Schreibersite series;1;;
12;12;Perryite-Ferdisilicite series;1;;
13;13;Osmium series;1;;
14;14;Platinum series;1;;
15;15;Isoferroplatinum - Ferronickelplatinum series;1;;
16;16;Zvyagintsevite - Plumbopalladinite series;1;;
17;17;Paolovite - Thaimyrite series;1;;
18;1/B.01;Arsenic-Bismuth series;2;;01
19;1/B.02;Carbon series, Graphite - Lonsdaleite;2;;02
20;1/B.03;Sulphur - Selenium series;2;;03
21;1/B.05;Silicon series;2;;05
22;1/X.00;Alloys;3;;00
23;2/A.01;Algodonite - Cuprostibite series;4;;01
24;2/A.02;Allargentum - Dyscrasite series;4;;02
25;2/A.03;Bezsmertnovite - Maldonite series;4;;03
26;2/A.04;Dienerite - Maucherite series;4;;04
27;2/A.05;Atheneite - Genkinite series;4;;05
28;2/A.06;Vasilite - Luberoite series;4;;06
29;2/A.07;Telargpalite - Borovskite series;4;;07
30;2/B.01;Chalcocite - Yarrowite series;5;;01
31;2/B.02;Betechtinite - Bornite series;5;;02
32;2/B.03;Bertzeliannite - Athabascaite series;5;;03
33;2/B.04;Weissite - Richardite series;5;;04
34;2/B.05;Achantite - Empresite series;5;;05
35;2/B.06;Jalpaite - Imiterite series;5;;06
36;2/B.07;Petrovskaite - Muthmannite series;5;;07
37;2/B.08;Argyrodite - Canfieldite series;5;;08
38;2/B.09;Danielsite - Furotobeite series;5;;09
39;2/B.10;Petrovisite series;5;;10
40;2/B.11;Carlinite series;5;;11
41;2/B.12;Rhodplumsite - Oregonite series;5;;12
42;2/B.13;Vozhminite series;5;;13
43;2/B.14;Donharrisite series;5;;14
44;2/B.15;Hauchecornite group;5;;15
45;2/B.16;Pentlandite group;5;;16
46;2/B.17;Mackinawite - Karaelakhite series;5;;17
47;2/C.01;Sphalerite group and related compounds (with Leutite);6;;01
48;2/C.02;Sphalerite group and related compounds (with Leutite);6;;02
49;2/C.03;Chalcopyrite group and related compounds;6;;03
50;2/C.04;Chalcopyrite group, Mooihoekite - Orickite series;6;;04
51;2/C.05;Chalcopyrite group, Raguinite - Picotpaulite series;6;;05
52;2/C.06;Stannite group;6;;06
53;2/C.07;Stannite group, Stannoidite - Vinciennite series;6;;07
54;2/C.08;Stannite group, Chatkalite - Mawsonite series;6;;08
55;2/C.09;Stannite group, Hemusite - Kiddcreekite series;6;;09
56;2/C.10;Stannite group, Germanite series;6;;10
57;2/C.11;Tetrahedrite group;6;;11
58;2/C.12;Tetrahedrite group, Watanabeite - Gruzdevite series;6;;12
59;2/C.13;Wurtzite series;6;;13
60;2/C.14;Cubanite series;6;;14
61;2/C.15;Galenite group;6;;15
62;2/C.16;Miargyrite - Volynskite series;6;;16
63;2/C.17;Hertzenbergite - Kylindrite series;6;;17
64;2/C.18;Cinnabarite - Hypercinnabarite series;6;;18
65;2/C.19;Troilite - Pyrrhotite - Haideite series;6;;19
66;2/C.20;Nickeline group and related compounds, Polarite - Cherepanovite series;6;;20
67;2/C.21;Millerite series;6;;21
68;2/C.22;Covellite series;6;;22
69;2/C.23;Yushkinite - Vyalsovite series;6;;23
70;2/C.24;Vulkanite series;6;;24
71;2/C.25;Vysotskite - Cooperite series;6;;25
72;2/D.01;Linneite group and related compounds;7;;01
73;2/D.02;Dayingite - Xingzhongite series;7;;02
74;2/D.03;Inaglyite ? series;7;;03
75;2/D.05;Bretzinaite ? series;7;;05
76;2/D.06;Kashinite series;7;;06
77;2/D.07;Paxite series;7;;07
78;2/D.08;Stibnite - Bismuthinite series;7;;08
79;2/D.09;Tetradymite group, Tellurantimony - Kawazulite series;7;;09
80;2/D.10;Tetradymite group, Nevskite - Tsumoite series;7;;10
81;2/D.11;Tetradymite group, Ikunolite - Joseite-B series;7;;11
82;2/D.12;Tetradymite group, Poubaite - Rucklidgeite series;7;;12
83;2/D.13;Tetradymite group, Kochkarite - Hedleyite series;7;;13
84;2/D.14;Cameronite series;7;;14
85;2/D.15;Montbrayite - Buckhornite series;7;;15
86;2/D.16;Kostovite - Calaverite series;7;;16
87;2/D.17;Pyrite group and related compounds, Fukuchilite - Micherenite;7;;17
88;2/D.18;Cobaltite group, Cobaltite - Ullmannite - Tolovkite series;7;;18
89;2/D.19;Cobaltite group, Krutovite series;7;;19
90;2/D.20;Markasite - Iridarsenite series;7;;20
91;2/D.21;Borishanskiite -Urvantsevite series;7;;21
92;2/D.22;Arsenopyrite series;7;;22
93;2/D.23;L�llingite - Costibite series;7;;23
94;2/D.24;Clinosafflorite - Paracostibite series;7;;24
95;2/D.25;Molybdenite series;7;;25
96;2/D.26;Molybdenite series;7;;26
97;2/D.27;Bambolaite series;7;;27
98;2/D.28;Melonite group, Berntdtite - Moncheite series;7;;28
99;2/D.29;Skutterudite - Iridisite series;7;;29
100;2/E.01;Berthierite - Garavellite series;8;;01
101;2/E.02;Larosite series;8;;02
102;2/E.03;Skinnerite - Wittichenite series;8;;03
103;2/E.04;Chalcostibite - Hodrushite series;8;;04
104;2/E.05;Billingsleyite - Polybasite series;8;;05
105;2/E.06;Stefanite - Arcusbisite series;8;;06
106;2/E.07;Proustite - Samsonite series;8;;07
107;2/E.08;Treshmannite - Dervillite series;8;;08
108;2/E.09;Benjaminite - Kitaibelite series;8;;09
109;2/E.10;Fangite series;8;;10
110;2/E.11;Galkhaiite series;8;;11
111;2/E.12;Laffittite - Hatchite series;8;;12
112;2/E.13;Livingstonite - Vaughanite series;8;;13
113;2/E.14;Rebulite - Chabourneite series;8;;14
114;2/E.15;Jordanite - Lengenbachite series;8;;15
115;2/E.16;Seligmannite - Bournonite series;8;;16
116;2/E.17;Marrite - Owyheeite series;8;;17
117;2/E.18;Dufrenoysite - Veenite series;8;;18
118;2/E.19;Falkmanite - Jaskolskiite series;8;;19
119;2/E.20;Madocite - Dadsonite series;8;;20
120;2/E.21;Rayite - F�l�ppite series;8;;21
121;2/E.22;Jamesonite - Sakharovaite series;8;;22
122;2/E.23;Uchucchacuaite - Roshchinite series;8;;23
123;2/E.24;Baumhauerite - Robinsonite series;8;;24
124;2/E.25;Liveingite - Twinnite series;8;;25
125;2/E.26;Zinkenite series;8;;26
126;2/E.27;Kirkiite series;8;;27
127;2/E.28;Miharaite series;8;;28
128;2/E.29;Aschamalmite - Heyrowskyite series;8;;29
129;2/E.30;Aikinite - Pekoite series;8;;30
130;2/E.31;Xilingolite - Gustavite series;8;;31
131;2/E.32;Neyite series;8;;32
132;2/E.33;Izoklakeite - Berryite series;8;;33
133;2/E.34;Cosalite - Galenobismuthite;8;;34
134;2/E.35;Ustarasite series;8;;35
135;2/F.01;Patronite series;9;;01
136;2/F.02;Duranusite - Jeromite series;9;;02
137;2/F.03;Getchellite - Wakabayashilite series;9;;03
138;2/F.04;Rohaite - Thalcusite series;9;;04
139;2/F.05;Chvilevaite series;9;;05
140;2/F.06;Djerfisherite - Thalfenisite series;9;;06
141;2/F.07;Rasvumite - Bartonite series;9;;07
142;2/F.08;Caswellsilverite - Sch�llhornite series;9;;08
143;2/F.09;Erdite-Coyoteite series;9;;09
144;2/F.10;Gerstleyite series;9;;10
145;2/F.11;Kermesite - Cetineite series;9;;11
146;2/F.12;Bazhenovite series;9;;12
147;2/F.13;Capgaronnite-Perroudite series;9;;13
148;2/F.14;Corderoite - Arzakite series;9;;14
149;2/F.15;Kolarite - Radhakrishnaite series;9;;15
150;2/X.00;Nickeline Group;10;;00
151;3/A.01;Nantokite - Miersite series;11;;01
152;3/A.02;Halite series Griceite - Bromargyrite;11;;02
153;3/A.03;Jordargyrite - Tocornalite series;11;;03
154;3/A.04;Salmiac;11;;04
155;3/A.05;Calomel - Moschelite series;11;;05
156;3/A.06;Sellaite series;11;;06
157;3/A.07;Tolbachite series;11;;07
158;3/A.08;Fluorite series and related compounds;11;;08
159;3/A.09;Fluorite series and related compounds;11;;09
160;3/A.10;Fluorite series and related compounds;11;;10
161;3/A.11;Fluorite series and related compounds;11;;11
162;3/A.12;Hydrohalite - Antarcticite series;11;;12
163;3/A.13;Cadwaladerite - Hydromolysite series;11;;13
164;3/B.01;Ferruccite - Barberiite series;12;;01
