id;short_name;state_province;city;mine;x_position;y_position
1;Secured productize;schemas;Octaviafurt;olive Ghana Games;34396;43326
2;Savings Account cross-platform Colombia;virtual;Garretside;Peso Uruguayo Uruguay Peso en Unidades Indexadas Wisconsin Frozen;91167;81221
3;connecting;cross-platform;Rueckerbury;port neural;28874;88976
4;Savings Account Reverse-engineered;Directives Rustic Bedfordshire;Gibsontown;Savings Account pink Steel;87783;87260
5;Concrete sky blue;Bolivar Fuerte backing up;Boganmouth;Forward Refined Frozen Cheese Mali;96713;61488
6;analyzer;transmitting;Hudsonfort;help-desk;32239;48604
7;Monaco Exclusive Incredible Fresh Keyboard;compelling Algeria;Anabelbury;Generic;90004;97414
8;mobile;redundant Pataca;Ezekielfurt;synthesize;64603;55826
9;fuchsia Technician;calculating Checking Account;Bartellton;Stream cross-platform;3915;79566
10;embrace Forward;1080p;Port Adolfo;West Virginia interface;12684;18552
