id;code;name;short_name;parent_id
1;Strategist target;Curve;Integration Forint olive;1
2;solid state Architect;extend;metrics;2
3;Intelligent Concrete Table Gorgeous;alarm;Automotive;3
4;invoice;metrics transmitting;harness;4
5;plug-and-play;Metal Clothing neural-net;Movies bandwidth;5
6;Nevada;unleash Naira bandwidth;Clothing generate;6
7;Distributed;maroon Multi-tiered Investment Account;wireless Forint Associate;7
8;Bedfordshire;dynamic;Mandatory revolutionize;8
9;Maine Checking Account;clicks-and-mortar;Program product;9
10;hacking mesh;Handcrafted back-end CSS;Fall Garden embrace;10
